NAME                            VERSION           TYPE                    
Simple Launcher                 1.1.0.14          binary  (+5 duplicates)  
acl-libs                        2.3.2-r1          apk                      
acme                            5.7.0             python                   
alpine-baselayout               3.7.2-r1          apk                      
alpine-baselayout-data          3.7.2-r1          apk                      
alpine-keys                     2.6-r0            apk                      
alpine-release                  3.24.1-r0         apk                      
annotated-types                 0.8.0             python                   
anyio                           4.14.2            python                   
aom-libs                        3.14.1-r0         apk                      
apache2-utils                   2.4.68-r0         apk                      
apk-tools                       3.0.7-r0          apk                      
apr                             1.7.6-r0          apk                      
apr-util                        1.6.4-r0          apk                      
argon2-libs                     20190702-r5       apk                      
autocommand                     2.2.2             python                   
azure-common                    1.1.28            python                   
azure-core                      1.41.0            python                   
azure-identity                  1.25.3            python                   
azure-mgmt-core                 1.6.0             python                   
azure-mgmt-dns                  9.0.0             python                   
backports-tarfile               1.2.0             python                   
bash                            5.3.9-r1          apk                      
beautifulsoup4                  4.15.0            python                   
boto3                           1.43.83           python                   
botocore                        1.43.83           python                   
brotli-libs                     1.2.0-r1          apk                      
bs4                             0.0.2             python                   
busybox                         1.37.0-r31        apk                      
busybox-binsh                   1.37.0-r31        apk                      
c-ares                          1.34.8-r0         apk                      
ca-certificates                 20260611-r0       apk                      
ca-certificates-bundle          20260611-r0       apk                      
catatonit                       0.2.1-r0          apk                      
certbot                         5.7.0             python                   
certbot-dns-acmedns             0.1.0             python                   
certbot-dns-aliyun              2.0.0             python                   
certbot-dns-azure               1.5.0             python                   
certbot-dns-bunny               3.0.0             python                   
certbot-dns-cloudflare          5.7.0             python                   
certbot-dns-cpanel              0.4.0             python                   
certbot-dns-desec               1.3.2             python                   
certbot-dns-digitalocean        5.7.0             python                   
certbot-dns-directadmin         1.0.15            python                   
certbot-dns-dnsimple            5.7.0             python                   
certbot-dns-dnsmadeeasy         5.7.0             python                   
certbot-dns-dnspod              0.1.0             python                   
certbot-dns-do                  0.31.0            python                   
certbot-dns-domeneshop          0.2.9             python                   
certbot-dns-dreamhost           1.0               python                   
certbot-dns-duckdns             1.9.0             python                   
certbot-dns-dynudns             0.0.6             python                   
certbot-dns-freedns             0.2.0             python                   
certbot-dns-gehirn              5.7.0             python                   
certbot-dns-glesys              2.1.0             python                   
certbot-dns-godaddy             2.8.0             python                   
certbot-dns-google              5.7.0             python                   
certbot-dns-he                  1.0.0             python                   
certbot-dns-hetzner             4.0.0             python                   
certbot-dns-hetzner-cloud       1.0.5             python                   
certbot-dns-infomaniak          0.3.3             python                   
certbot-dns-inwx                3.0.3             python                   
certbot-dns-ionos               2024.11.9         python                   
certbot-dns-linode              5.7.0             python                   
